,ligand,receptor,annotation,LR
0,TGFB1,TGFBR2,Secreted Signaling,TGFB1_TGFBR2
1,TGFB1,TGFBR1,Secreted Signaling,TGFB1_TGFBR1
2,TGFB2,TGFBR2,Secreted Signaling,TGFB2_TGFBR2
3,TGFB2,TGFBR1,Secreted Signaling,TGFB2_TGFBR1
4,TGFB3,TGFBR2,Secreted Signaling,TGFB3_TGFBR2
5,TGFB3,TGFBR1,Secreted Signaling,TGFB3_TGFBR1
6,TGFB1,ACVR1B,Secreted Signaling,TGFB1_ACVR1B
7,TGFB1,ACVR1C,Secreted Signaling,TGFB1_ACVR1C
8,TGFB2,ACVR1B,Secreted Signaling,TGFB2_ACVR1B
9,TGFB2,ACVR1C,Secreted Signaling,TGFB2_ACVR1C
10,TGFB3,ACVR1B,Secreted Signaling,TGFB3_ACVR1B
11,TGFB3,ACVR1C,Secreted Signaling,TGFB3_ACVR1C
12,TGFB1,ACVR1,Secreted Signaling,TGFB1_ACVR1
13,TGFB2,ACVR1,Secreted Signaling,TGFB2_ACVR1
14,TGFB3,ACVR1,Secreted Signaling,TGFB3_ACVR1
15,BMP2,ACVR2A,Secreted Signaling,BMP2_ACVR2A
16,BMP2,BMPR1A,Secreted Signaling,BMP2_BMPR1A
17,BMP2,ACVR2B,Secreted Signaling,BMP2_ACVR2B
18,BMP2,BMPR2,Secreted Signaling,BMP2_BMPR2
19,BMP2,BMPR1B,Secreted Signaling,BMP2_BMPR1B
20,BMP4,ACVR2A,Secreted Signaling,BMP4_ACVR2A
21,BMP4,BMPR1A,Secreted Signaling,BMP4_BMPR1A
22,BMP4,ACVR2B,Secreted Signaling,BMP4_ACVR2B
23,BMP4,BMPR2,Secreted Signaling,BMP4_BMPR2
24,BMP4,BMPR1B,Secreted Signaling,BMP4_BMPR1B
25,GDF5,ACVR2A,Secreted Signaling,GDF5_ACVR2A
26,GDF5,BMPR1A,Secreted Signaling,GDF5_BMPR1A
27,GDF5,ACVR2B,Secreted Signaling,GDF5_ACVR2B
28,GDF5,BMPR2,Secreted Signaling,GDF5_BMPR2
29,GDF5,BMPR1B,Secreted Signaling,GDF5_BMPR1B
30,GDF6,ACVR2A,Secreted Signaling,GDF6_ACVR2A
31,GDF6,BMPR1A,Secreted Signaling,GDF6_BMPR1A
32,GDF6,ACVR2B,Secreted Signaling,GDF6_ACVR2B
33,GDF6,BMPR2,Secreted Signaling,GDF6_BMPR2
34,GDF6,BMPR1B,Secreted Signaling,GDF6_BMPR1B
35,GDF7,ACVR2A,Secreted Signaling,GDF7_ACVR2A
36,GDF7,BMPR1A,Secreted Signaling,GDF7_BMPR1A
37,GDF7,ACVR2B,Secreted Signaling,GDF7_ACVR2B
38,GDF7,BMPR2,Secreted Signaling,GDF7_BMPR2
39,GDF7,BMPR1B,Secreted Signaling,GDF7_BMPR1B
40,BMP15,BMPR1B,Secreted Signaling,BMP15_BMPR1B
41,BMP15,BMPR2,Secreted Signaling,BMP15_BMPR2
42,BMP5,ACVR1,Secreted Signaling,BMP5_ACVR1
43,BMP5,ACVR2A,Secreted Signaling,BMP5_ACVR2A
44,BMP5,ACVR2B,Secreted Signaling,BMP5_ACVR2B
45,BMP5,BMPR2,Secreted Signaling,BMP5_BMPR2
46,BMP5,BMPR1A,Secreted Signaling,BMP5_BMPR1A
47,BMP5,BMPR1B,Secreted Signaling,BMP5_BMPR1B
48,BMP6,ACVR1,Secreted Signaling,BMP6_ACVR1
49,BMP6,ACVR2A,Secreted Signaling,BMP6_ACVR2A
50,BMP6,ACVR2B,Secreted Signaling,BMP6_ACVR2B
51,BMP6,BMPR2,Secreted Signaling,BMP6_BMPR2
52,BMP6,BMPR1A,Secreted Signaling,BMP6_BMPR1A
53,BMP6,BMPR1B,Secreted Signaling,BMP6_BMPR1B
54,BMP7,ACVR1,Secreted Signaling,BMP7_ACVR1
55,BMP7,ACVR2A,Secreted Signaling,BMP7_ACVR2A
56,BMP7,ACVR2B,Secreted Signaling,BMP7_ACVR2B
57,BMP7,BMPR2,Secreted Signaling,BMP7_BMPR2
58,BMP7,BMPR1A,Secreted Signaling,BMP7_BMPR1A
59,BMP7,BMPR1B,Secreted Signaling,BMP7_BMPR1B
60,BMP8A,ACVR1,Secreted Signaling,BMP8A_ACVR1
61,BMP8A,ACVR2A,Secreted Signaling,BMP8A_ACVR2A
62,BMP8A,ACVR2B,Secreted Signaling,BMP8A_ACVR2B
63,BMP8A,BMPR2,Secreted Signaling,BMP8A_BMPR2
64,BMP8A,BMPR1A,Secreted Signaling,BMP8A_BMPR1A
65,BMP8A,BMPR1B,Secreted Signaling,BMP8A_BMPR1B
66,BMP8B,ACVR1,Secreted Signaling,BMP8B_ACVR1
67,BMP8B,ACVR2A,Secreted Signaling,BMP8B_ACVR2A
68,BMP8B,ACVR2B,Secreted Signaling,BMP8B_ACVR2B
69,BMP8B,BMPR2,Secreted Signaling,BMP8B_BMPR2
70,BMP8B,BMPR1A,Secreted Signaling,BMP8B_BMPR1A
