LR,gradient_count,edge_count,normal_count,weak_count
TGFB1_TGFBR2,0.0,0.0,0.0,640.0
TGFB1_TGFBR1,864.0,644.0,2600.0,613.0
TGFB2_TGFBR2,932.0,368.0,1278.0,1491.0
TGFB2_TGFBR1,365.0,245.0,1935.0,0.0
TGFB3_TGFBR2,1449.0,600.0,2279.0,607.0
TGFB3_TGFBR1,937.0,490.0,2705.0,0.0
TGFB1_ACVR1B,1468.0,781.0,1990.0,658.0
TGFB1_ACVR1C,1755.0,571.0,1359.0,1004.0
TGFB2_ACVR1B,1061.0,382.0,1065.0,0.0
TGFB2_ACVR1C,1381.0,145.0,124.0,0.0
TGFB3_ACVR1B,1488.0,612.0,2130.0,0.0
TGFB3_ACVR1C,1810.0,398.0,1542.0,0.0
TGFB1_ACVR1,1489.0,800.0,1926.0,691.0
TGFB2_ACVR1,1077.0,408.0,941.0,0.0
TGFB3_ACVR1,1433.0,644.0,2039.0,0.0
BMP2_ACVR2A,2504.0,677.0,1029.0,0.0
BMP2_BMPR1A,2450.0,707.0,1018.0,0.0
BMP2_ACVR2B,2660.0,502.0,467.0,0.0
BMP2_BMPR2,1923.0,566.0,2116.0,0.0
BMP2_BMPR1B,1794.0,346.0,334.0,0.0
BMP4_ACVR2A,2566.0,608.0,919.0,0.0
BMP4_BMPR1A,2611.0,641.0,938.0,0.0
BMP4_ACVR2B,2714.0,425.0,335.0,0.0
BMP4_BMPR2,2051.0,502.0,2061.0,0.0
BMP4_BMPR1B,1898.0,274.0,207.0,0.0
GDF5_ACVR2A,1271.0,359.0,762.0,0.0
GDF5_BMPR1A,1261.0,396.0,779.0,0.0
GDF5_ACVR2B,1615.0,169.0,142.0,0.0
GDF5_BMPR2,262.0,249.0,1957.0,0.0
GDF5_BMPR1B,0.0,4.0,0.0,0.0
GDF6_ACVR2A,1311.0,380.0,765.0,0.0
GDF6_BMPR1A,1284.0,420.0,782.0,0.0
GDF6_ACVR2B,1644.0,191.0,145.0,0.0
GDF6_BMPR2,308.0,271.0,1958.0,0.0
GDF6_BMPR1B,49.0,28.0,3.0,0.0
GDF7_ACVR2A,2395.0,677.0,1059.0,0.0
GDF7_BMPR1A,2417.0,716.0,1072.0,0.0
GDF7_ACVR2B,2552.0,510.0,512.0,0.0
GDF7_BMPR2,1798.0,583.0,2148.0,0.0
GDF7_BMPR1B,1672.0,356.0,388.0,0.0
BMP5_ACVR1,1231.0,426.0,937.0,0.0
BMP5_ACVR2A,1446.0,398.0,770.0,0.0
BMP5_ACVR2B,1791.0,214.0,150.0,0.0
BMP5_BMPR2,509.0,292.0,1960.0,0.0
BMP5_BMPR1A,1445.0,433.0,786.0,0.0
BMP5_BMPR1B,275.0,50.0,9.0,0.0
BMP6_ACVR1,2380.0,619.0,1098.0,0.0
BMP6_ACVR2A,2598.0,595.0,944.0,0.0
BMP6_ACVR2B,2657.0,413.0,366.0,0.0
BMP6_BMPR2,2024.0,496.0,2063.0,0.0
BMP6_BMPR1A,2606.0,633.0,981.0,0.0
BMP6_BMPR1B,1894.0,264.0,243.0,0.0
BMP7_ACVR1,1655.0,456.0,967.0,0.0
BMP7_ACVR2A,1833.0,429.0,801.0,0.0
BMP7_ACVR2B,2045.0,243.0,189.0,0.0
BMP7_BMPR2,1011.0,320.0,1976.0,0.0
BMP7_BMPR1A,1825.0,461.0,812.0,0.0
BMP7_BMPR1B,809.0,80.0,51.0,0.0
