LR,gradient_count,edge_count,normal_count,weak_count
TGFB1_TGFBR2,697.0,349.0,1100.0,0.0
TGFB1_TGFBR1,505.0,348.0,1241.0,0.0
TGFB2_TGFBR2,784.0,54.0,961.0,0.0
TGFB2_TGFBR1,1289.0,16.0,650.0,0.0
TGFB3_TGFBR2,327.0,217.0,1560.0,0.0
TGFB3_TGFBR1,284.0,197.0,1513.0,0.0
TGFB1_ACVR1B,456.0,371.0,1262.0,0.0
TGFB1_ACVR1C,547.0,344.0,1150.0,0.0
TGFB2_ACVR1B,1836.0,16.0,310.0,0.0
TGFB2_ACVR1C,2326.0,8.0,78.0,0.0
TGFB3_ACVR1B,503.0,210.0,1400.0,0.0
TGFB3_ACVR1C,1313.0,275.0,631.0,0.0
TGFB1_ACVR1,451.0,299.0,1312.0,0.0
TGFB2_ACVR1,1679.0,9.0,303.0,0.0
TGFB3_ACVR1,616.0,248.0,1230.0,0.0
BMP2_ACVR2A,1302.0,223.0,587.0,0.0
BMP2_BMPR1A,1373.0,235.0,509.0,0.0
BMP2_ACVR2B,1749.0,228.0,234.0,0.0
BMP2_BMPR2,1067.0,270.0,753.0,0.0
BMP2_BMPR1B,3380.0,19.0,0.0,0.0
BMP4_ACVR2A,1495.0,150.0,454.0,0.0
BMP4_BMPR1A,1559.0,178.0,395.0,0.0
BMP4_ACVR2B,1940.0,179.0,169.0,0.0
BMP4_BMPR2,1236.0,173.0,620.0,0.0
BMP4_BMPR1B,3573.0,9.0,0.0,0.0
GDF5_ACVR2A,1777.0,0.0,344.0,0.0
GDF5_BMPR1A,1786.0,0.0,314.0,0.0
GDF5_ACVR2B,2142.0,1.0,113.0,0.0
GDF5_BMPR2,1443.0,0.0,564.0,0.0
GDF5_BMPR1B,3888.0,0.0,0.0,0.0
GDF6_ACVR2A,1768.0,13.0,342.0,0.0
GDF6_BMPR1A,1785.0,15.0,306.0,0.0
GDF6_ACVR2B,2130.0,15.0,115.0,0.0
GDF6_BMPR2,1451.0,15.0,547.0,0.0
GDF6_BMPR1B,3864.0,0.0,0.0,0.0
BMP5_ACVR1,1669.0,25.0,309.0,0.0
BMP5_ACVR2A,1757.0,27.0,345.0,0.0
BMP5_ACVR2B,2114.0,22.0,116.0,0.0
BMP5_BMPR2,1446.0,29.0,544.0,0.0
BMP5_BMPR1A,1770.0,27.0,311.0,0.0
BMP5_BMPR1B,3843.0,1.0,0.0,0.0
BMP6_ACVR1,1477.0,179.0,374.0,0.0
BMP6_ACVR2A,1494.0,150.0,454.0,0.0
BMP6_ACVR2B,1924.0,162.0,163.0,0.0
BMP6_BMPR2,1240.0,161.0,601.0,0.0
BMP6_BMPR1A,1541.0,148.0,382.0,0.0
BMP6_BMPR1B,3569.0,10.0,0.0,0.0
BMP7_ACVR1,1641.0,30.0,312.0,0.0
BMP7_ACVR2A,1730.0,46.0,361.0,0.0
BMP7_ACVR2B,2092.0,33.0,119.0,0.0
BMP7_BMPR2,1422.0,34.0,543.0,0.0
BMP7_BMPR1A,1753.0,51.0,322.0,0.0
BMP7_BMPR1B,3812.0,0.0,0.0,0.0
BMP8A_ACVR1,1093.0,239.0,637.0,0.0
BMP8A_ACVR2A,1068.0,230.0,769.0,0.0
BMP8A_ACVR2B,1541.0,239.0,364.0,0.0
BMP8A_BMPR2,870.0,267.0,976.0,0.0
BMP8A_BMPR1A,1147.0,241.0,756.0,0.0
BMP8A_BMPR1B,3140.0,24.0,0.0,0.0
BMP8B_ACVR1,1557.0,117.0,342.0,0.0
BMP8B_ACVR2A,1606.0,112.0,410.0,0.0
BMP8B_ACVR2B,2000.0,100.0,137.0,0.0
BMP8B_BMPR2,1333.0,106.0,563.0,0.0
BMP8B_BMPR1A,1639.0,108.0,352.0,0.0
BMP8B_BMPR1B,3677.0,6.0,0.0,0.0
BMP10_BMPR2,1450.0,14.0,547.0,0.0
BMP10_ACVRL1,1513.0,9.0,549.0,0.0
BMP10_ACVR2A,1764.0,9.0,342.0,0.0
GDF9_BMPR2,1431.0,33.0,544.0,0.0
GDF9_ACVR1B,1812.0,37.0,316.0,0.0
