scenario,tool,ligand,count
DLPFC,Baseline_1,ADCYAP1,1
DLPFC,Baseline_1,ADIPOQ,2
DLPFC,Baseline_1,ADM,2
DLPFC,Baseline_1,AGRN,1
DLPFC,Baseline_1,AGT,2
DLPFC,Baseline_1,AKR1C3,1
DLPFC,Baseline_1,ALDH1A1,7
DLPFC,Baseline_1,ALDH1A2,4
DLPFC,Baseline_1,ALDH1A3,5
DLPFC,Baseline_1,AMH,2
DLPFC,Baseline_1,ANGPT1,1
DLPFC,Baseline_1,ANGPT2,1
DLPFC,Baseline_1,ANGPTL1,1
DLPFC,Baseline_1,ANGPTL2,3
DLPFC,Baseline_1,ANGPTL4,9
DLPFC,Baseline_1,ANXA1,1
DLPFC,Baseline_1,APLN,1
DLPFC,Baseline_1,APOA1,1
DLPFC,Baseline_1,APOE,2
DLPFC,Baseline_1,APP,5
DLPFC,Baseline_1,ARTN,1
DLPFC,Baseline_1,BAG6,1
DLPFC,Baseline_1,BDNF,2
DLPFC,Baseline_1,BMP2,2
DLPFC,Baseline_1,BMP4,2
DLPFC,Baseline_1,BMP7,6
DLPFC,Baseline_1,BMP8A,3
DLPFC,Baseline_1,BMP8B,1
DLPFC,Baseline_1,BTC,1
DLPFC,Baseline_1,C1QL1,1
DLPFC,Baseline_1,C1QL2,1
DLPFC,Baseline_1,C1QL3,1
DLPFC,Baseline_1,C3,4
DLPFC,Baseline_1,CADM1,1
DLPFC,Baseline_1,CADM3,4
DLPFC,Baseline_1,CALCB,1
DLPFC,Baseline_1,CBR1,1
DLPFC,Baseline_1,CCK,1
DLPFC,Baseline_1,CCL5,2
DLPFC,Baseline_1,CD46,1
DLPFC,Baseline_1,CD55,1
DLPFC,Baseline_1,CD6,1
DLPFC,Baseline_1,CD80,1
DLPFC,Baseline_1,CD99,2
DLPFC,Baseline_1,CDH1,2
DLPFC,Baseline_1,CDH12,2
DLPFC,Baseline_1,CEACAM1,1
DLPFC,Baseline_1,CEACAM5,1
DLPFC,Baseline_1,CHAD,1
DLPFC,Baseline_1,CLEC2L,1
DLPFC,Baseline_1,CNTN1,3
DLPFC,Baseline_1,CNTN2,2
DLPFC,Baseline_1,COL1A1,13
DLPFC,Baseline_1,COL1A2,12
DLPFC,Baseline_1,COL2A1,7
DLPFC,Baseline_1,COL3A1,1
DLPFC,Baseline_1,COL4A1,10
DLPFC,Baseline_1,COL4A2,9
DLPFC,Baseline_1,COL4A4,1
DLPFC,Baseline_1,COL4A5,7
DLPFC,Baseline_1,COL6A1,13
DLPFC,Baseline_1,COL6A2,12
DLPFC,Baseline_1,COL6A3,12
DLPFC,Baseline_1,COL9A1,1
DLPFC,Baseline_1,COL9A2,13
DLPFC,Baseline_1,COL9A3,10
DLPFC,Baseline_1,COMP,5
DLPFC,Baseline_1,CORT,3
DLPFC,Baseline_1,CRH,2
DLPFC,Baseline_1,CSF1,1
DLPFC,Baseline_1,CSPG4,2
DLPFC,Baseline_1,CTF1,2
DLPFC,Baseline_1,CX3CL1,1
DLPFC,Baseline_1,CXCL12,2
DLPFC,Baseline_1,DAGLA,1
DLPFC,Baseline_1,DAGLB,1
DLPFC,Baseline_1,DHCR24,2
DLPFC,Baseline_1,DHCR7,4
DLPFC,Baseline_1,DLL1,3
DLPFC,Baseline_1,DLL3,3
DLPFC,Baseline_1,DLL4,3
DLPFC,Baseline_1,DSC2,1
DLPFC,Baseline_1,EBI3,1
DLPFC,Baseline_1,EDN2,1
DLPFC,Baseline_1,EDN3,1
DLPFC,Baseline_1,EFNA1,6
DLPFC,Baseline_1,EFNA3,5
DLPFC,Baseline_1,EFNA4,1
DLPFC,Baseline_1,EFNA5,6
DLPFC,Baseline_1,EFNB1,5
