tool,Variance level,Enrichment,Spatial_auto_1,Spatial_auto_2,Precision,Recall,F1 Score,Count,non_specific_F1,up_F1,offset_F1,overlap_F1,dropout_F1,lack_F1,dropdown_edge,equal_edge,gradient_edge,time,memory
Baseline_1,0.3216374453375203,14.458955360750483,0.0387081453336499,0.0020432487655372,0.116269074100326,0.5950313128861704,0.1648611513997073,6677.608695652174,0.3526780637580076,0.3302545029814963,0.9171461449942462,0.9025327373951229,0.3389295997806182,0.9090236001850996,-0.0532544378698224,0.0153846153846153,0.0214723926380368,34029.420982956886,1317.2725
Baseline_2,0.5975126310452918,5.515413643526048,0.0228744065602071,0.0,0.1283540464085499,0.0539926660307171,0.0501770144540881,878.5652173913044,0.9178436992782402,0.9085679063077872,0.920553562275756,0.0790611488573193,0.9085679063077872,0.6153846153846153,-0.6926229508196722,0.006578947368421,0.0,8132.19646936655,2995.745
COMMOT,0.632185027001177,8.79108697260149,0.0912052117263843,0.0062451209992193,0.1976331725604863,0.3577035020128313,0.1906728806999673,1331.7391304347825,0.9991610098390664,0.8034242232086239,0.8880105401844532,0.6886242715986826,0.8034242232086239,0.6462015503875969,0.8109756097560976,0.0,0.0,27246.7273747921,5576.64
CellAgentChat,0.6502183198431181,4.4077897192345645,0.0918918918918919,0.0052287581699346,0.021284677950704,0.4493780073152326,0.0388227507702516,16318.608695652174,0.850789943967021,0.8380562545120661,0.0,0.8192508710801394,0.8759227510378736,0.8388857670386128,0.696993670886076,0.0297029702970297,0.0031847133757961,32824.0818092227,9285.24
Squidpy,0.6582198963292676,18.04929626671232,0.0507219548315438,0.0022517451024544,0.1183733444319392,0.5850059229784079,0.1697614383789538,5486.739130434783,0.9282767184746034,0.9479605907392236,0.9898242368177612,0.8327886960924196,0.9348080808080808,0.6824692868430443,0.5979938271604939,0.0154798761609907,0.0030959752321981,26.997,1433.065
Giotto,0.60820878578165,3.1075686331638743,0.0912250217202432,0.0039787798408488,0.0608061617178592,0.1793853371396909,0.0717400973724771,1018.3478260869564,0.1799872122762148,0.1773004168002564,1.0,0.7682333873581847,0.2906474820143885,0.7594670406732117,2.4226190476190474,0.0524475524475524,0.0,8108.1416015625,2184.80425
SpaTalk,0.3904127615542371,5.3125955414801656,0.0497118155619596,0.0019062142584826,0.0660001513268264,0.4572966112443547,0.103120869393648,4238.826086956522,0.0940045957802381,0.0984740590030518,0.0,0.3717328170377541,0.1041198501872659,0.1660877802336596,1.34,0.1509433962264151,0.0615384615384615,61228.9575,5976.6845703125
SpatialDM,0.4565392934054481,1.1885594512391904,0.0182648401826484,0.0,0.0567896986668846,0.3153914898782127,0.076923753647072,79953.63636363637,0.1060399522054492,0.1120989873377092,0.0,0.0718881885448068,0.1196292559078185,0.0799999999999999,0.8591549295774648,0.064516129032258,0.081081081081081,1354.51325,8237.485
stLearn,0.8384513036998914,0.9879307963962082,0.0715396578538102,0.0029850746268656,0.0246604821445672,0.0281104093170532,0.0156835003431249,5083.54347826087,0.5038047603292918,0.5818877995010734,0.8516746411483254,0.4287441788663905,0.582180409518539,0.2775510204081632,0.315439672801636,0.006172839506172839,0.00411522633744856,451858.52867746353,2080.9875
stLearn*,0.8643927892234814,0.7700722461698206,0.0564142194744976,0.0024819494584837,0.1196456319809978,0.0547809442194736,0.0526320473761349,269.3260869565217,0.853225806451613,0.7084180561203742,0.8159203980099502,0.5668202764976958,0.7141693811074918,0.4,0.31724845995893225,0.008264462809917356,0.004140786749482402,10432.040476083755,2039.5225
