noise,precision,recall,F1,tool
dropout,0.9464329542665468,0.9234653149197732,0.9348080808080808,Squidpy
non_specific,0.9316354426308596,0.9249421250099784,0.9282767184746034,Squidpy
up,0.9492695617370422,0.9466552247146164,0.9479605907392236,Squidpy
lack,0.5910294896697863,0.8073814980098902,0.6824692868430443,Squidpy
overlap,0.8872217318819261,0.7846487424111015,0.8327886960924196,Squidpy
offset,0.988909426987061,0.9907407407407408,0.9898242368177612,Squidpy
dropout,0.8048842257597685,0.2146606457091028,0.3389295997806182,Baseline_1
non_specific,0.8228676548625606,0.2244350527798684,0.3526780637580076,Baseline_1
up,0.8109668654238056,0.2073467261043246,0.3302545029814963,Baseline_1
lack,0.9456961294049684,0.8750890947968638,0.9090236001850996,Baseline_1
overlap,0.925389934073002,0.8807774716865626,0.9025327373951229,Baseline_1
offset,0.9160919540229884,0.9182027649769584,0.9171461449942462,Baseline_1
dropout,0.903370786516854,0.9138251704897706,0.9085679063077872,Baseline_2
non_specific,0.9202908587257618,0.915409519873252,0.9178436992782402,Baseline_2
up,0.903370786516854,0.9138251704897706,0.9085679063077872,Baseline_2
lack,0.8686868686868687,0.4764542936288088,0.6153846153846153,Baseline_2
overlap,0.0757396449704142,0.082687338501292,0.0790611488573193,Baseline_2
offset,0.9403141361256544,0.9016064257028112,0.920553562275756,Baseline_2
dropout,0.836027713625866,0.7732682331400671,0.8034242232086239,COMMOT
non_specific,0.9989324386152204,0.9993896856881294,0.9991610098390664,COMMOT
up,0.836027713625866,0.7732682331400671,0.8034242232086239,COMMOT
lack,0.6361416361416361,0.6565847511027095,0.6462015503875969,COMMOT
overlap,0.7163943068002109,0.6629268292682927,0.6886242715986826,COMMOT
offset,0.8868421052631579,0.8891820580474934,0.8880105401844532,COMMOT
dropout,0.5984802308098663,0.566744910916997,0.582180409518539,stLearn
non_specific,0.5096668766734919,0.4980759610574518,0.5038047603292918,stLearn
up,0.5848623853211009,0.5789433178127525,0.5818877995010734,stLearn
lack,0.2677165354330709,0.288135593220339,0.2775510204081632,stLearn
overlap,0.6156346977981381,0.3288990644613745,0.4287441788663905,stLearn
offset,0.8811881188118812,0.8240740740740741,0.8516746411483254,stLearn
dropout,0.731442869057548,0.6976929196499603,0.7141693811074918,stLearn_without_spotmixture
non_specific,0.8650858544562551,0.841686555290374,0.853225806451613,stLearn_without_spotmixture
up,0.7246256239600666,0.6929196499602227,0.7084180561203742,stLearn_without_spotmixture
lack,0.5,0.3333333333333333,0.4,stLearn_without_spotmixture
overlap,0.6595174262734584,0.4969696969696969,0.5668202764976958,stLearn_without_spotmixture
offset,0.845360824742268,0.7884615384615384,0.8159203980099502,stLearn_without_spotmixture
dropout,0.115610254797106,0.1239377487016928,0.1196292559078185,SpatialDM
non_specific,0.1058386804179124,0.1062419909624334,0.1060399522054492,SpatialDM
up,0.1069449122699574,0.1177750050583395,0.1120989873377092,SpatialDM
lack,0.1052631578947368,0.064516129032258,0.0799999999999999,SpatialDM
overlap,0.045023891909705,0.1782355818883513,0.0718881885448068,SpatialDM
offset,0.0,0.0,0.0,SpatialDM
dropout,0.1452455590386625,0.081144191476941,0.1041198501872659,SpaTalk
non_specific,0.1653196179279941,0.0656742556917688,0.0940045957802381,SpaTalk
up,0.1625251846877098,0.070636310566258,0.0984740590030518,SpaTalk
lack,0.168697883258499,0.1635572139303482,0.1660877802336596,SpaTalk
overlap,0.3660130718954248,0.3776341669008148,0.3717328170377541,SpaTalk
offset,0.0,0.0,0.0,SpaTalk
dropout,0.2008315256688358,0.5257927117841931,0.2906474820143885,Giotto
non_specific,0.1358918657977311,0.2664458116422148,0.1799872122762148,Giotto
up,0.134060606060606,0.2617132039753904,0.1773004168002564,Giotto
lack,0.7830802603036876,0.7372362151123213,0.7594670406732117,Giotto
overlap,0.8024830699774267,0.7367875647668394,0.7682333873581847,Giotto
offset,1.0,1.0,1.0,Giotto
dropout,0.8835593922849343,0.868416986247489,0.8759227510378736,CellAgentChat
non_specific,0.8625877053677129,0.8393105482742635,0.850789943967021,CellAgentChat
up,0.8363036118960356,0.8398162585865396,0.8380562545120661,CellAgentChat
lack,0.8624958732254869,0.8165338334114706,0.8388857670386128,CellAgentChat
overlap,0.8319327731092437,0.806949806949807,0.8192508710801394,CellAgentChat
offset,0.0,0.0,0.0,CellAgentChat
