tool,dropout_raw_signed_count_mean,dropout_relative_l1_mean,dropout_pcc_impact_mean,equal_relative_l1,equal_pcc_impact,equal_ks_legacy,reverse_relative_l1,reverse_pcc_impact,reverse_ks_legacy,normalized_boundary_impact_mean
Squidpy,0.5979938271604938,0.16111526946107785,0.06010542659170007,0.019461077844311378,0.0030623469806499992,0.015479876160990712,0.005988023952095809,0.0007778468529541227,0.0030959752321981426,0.062188123752495016
Baseline_1,-0.05325443786982249,0.1464034401876466,0.025469861352440698,0.07036747458952307,0.009866883149870387,0.015384615384615385,0.06802189210320563,0.008545948398261727,0.02147239263803681,0.09493093562679177
Baseline_2,-0.6926229508196721,1.3103703703703704,0.657211662140661,0.008888888888888889,0.0029361288031621857,0.006578947368421052,0.0,0.0,0.0,0.43975308641975314
COMMOT,0.8109756097560976,0.41823899371069184,0.12123555108049291,0.0,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0,0.13941299790356396
stLearn,0.315439672801636,0.08564814814814814,0.0148636677893553,0.016975308641975308,0.002150202360158393,0.006172839506172839,0.01131687242798354,0.0015711563948002105,0.00411522633744856,0.037980109739368995
stLearn*,0.31724845995893225,0.08513097072419107,0.015003844886900097,0.019517205957883924,0.002185667637977229,0.008264462809917356,0.01386748844375963,0.0015141692623272807,0.004140786749482402,0.03950522170861154
SpatialDM,0.8591549295774649,1.5426136363636365,1.2734848631944813,1.1931818181818181,0.9773086947853284,0.06451612903225806,1.2045454545454546,1.1216676189290358,0.08108108108108109,1.3134469696969697
CellAgentChat,0.6969936708860759,0.3119703389830508,0.07437143848583228,0.18008474576271186,0.03401785527972501,0.0297029702970297,0.022245762711864406,0.0025281252082465233,0.0031847133757961785,0.17143361581920902
SpaTalk,1.3399999999999999,0.9166666666666667,0.7773871839613139,0.8743169398907104,0.6157387524511387,0.1509433962264151,0.9836065573770492,0.6612028311371656,0.06153846153846154,0.9248633879781419
Giotto,2.4226190476190474,0.9356594110115237,0.8786596556669746,0.1792573623559539,0.049819595331985544,0.05244755244755245,0.002560819462227913,0.0005617669098642031,0.0,0.3724925309432352
