tool,dropdown_edge,equal_edge,gradient_edge
Squidpy,0.5979938271604938,0.015479876160990712,0.0030959752321981426
Baseline_1,-0.05325443786982249,0.015384615384615385,0.02147239263803681
Baseline_2,-0.6926229508196721,0.006578947368421052,0.0
COMMOT,0.8109756097560976,0.0,0.0
stLearn,0.315439672801636,0.006172839506172839,0.00411522633744856
stLearn*,0.31724845995893225,0.008264462809917356,0.004140786749482402
SpatialDM,0.8591549295774649,0.06451612903225806,0.08108108108108109
CellAgentChat,0.6969936708860759,0.0297029702970297,0.0031847133757961785
SpaTalk,1.3399999999999999,0.1509433962264151,0.06153846153846154
Giotto,2.4226190476190474,0.05244755244755245,0.0
