dataset,lr_pair,panel_index,panel_type,output_path
DLPFC,SPP1_ITGB1,1,receptor_raw_expression,individual_panels/DLPFC/01_DLPFC_SPP1_ITGB1_receptor_raw_expression.svg
DLPFC,SPP1_ITGB1,2,ligand_raw_expression,individual_panels/DLPFC/02_DLPFC_SPP1_ITGB1_ligand_raw_expression.svg
DLPFC,SPP1_ITGB1,3,per_gene_random_like_normal,individual_panels/DLPFC/03_DLPFC_SPP1_ITGB1_per_gene_random_like_normal.svg
DLPFC,SPP1_ITGB1,4,lr_integrated_lr_geary_0p5_1p5,individual_panels/DLPFC/04_DLPFC_SPP1_ITGB1_lr_integrated_lr_geary_0p5_1p5.svg
DLPFC,SPP1_ITGB1,5,ligand_local_geary_log,individual_panels/DLPFC/05_DLPFC_SPP1_ITGB1_ligand_local_geary_log.svg
DLPFC,SPP1_ITGB1,6,receptor_local_geary_log,individual_panels/DLPFC/06_DLPFC_SPP1_ITGB1_receptor_local_geary_log.svg
DLPFC,SPP1_ITGB1,7,per_gene_homogeneous_gradient,individual_panels/DLPFC/07_DLPFC_SPP1_ITGB1_per_gene_homogeneous_gradient.svg
DLPFC,SPP1_ITGB1,8,lr_integrated_lr_geary_0_0p5,individual_panels/DLPFC/08_DLPFC_SPP1_ITGB1_lr_integrated_lr_geary_0_0p5.svg
DLPFC,SPP1_ITGB1,9,ligand_local_moran,individual_panels/DLPFC/09_DLPFC_SPP1_ITGB1_ligand_local_moran.svg
DLPFC,SPP1_ITGB1,10,receptor_local_moran,individual_panels/DLPFC/10_DLPFC_SPP1_ITGB1_receptor_local_moran.svg
DLPFC,SPP1_ITGB1,11,per_gene_heterogeneous_edge,individual_panels/DLPFC/11_DLPFC_SPP1_ITGB1_per_gene_heterogeneous_edge.svg
DLPFC,SPP1_ITGB1,12,lr_integrated_lr_geary_1p5_inf,individual_panels/DLPFC/12_DLPFC_SPP1_ITGB1_lr_integrated_lr_geary_1p5_inf.svg
MF,Pnoc_Oprl1,13,receptor_raw_expression,individual_panels/MF/13_MF_Pnoc_Oprl1_receptor_raw_expression.svg
MF,Pnoc_Oprl1,14,ligand_raw_expression,individual_panels/MF/14_MF_Pnoc_Oprl1_ligand_raw_expression.svg
MF,Pnoc_Oprl1,15,per_gene_random_like_normal,individual_panels/MF/15_MF_Pnoc_Oprl1_per_gene_random_like_normal.svg
MF,Pnoc_Oprl1,16,lr_integrated_lr_geary_0p5_1p5,individual_panels/MF/16_MF_Pnoc_Oprl1_lr_integrated_lr_geary_0p5_1p5.svg
MF,Pnoc_Oprl1,17,ligand_local_geary_log,individual_panels/MF/17_MF_Pnoc_Oprl1_ligand_local_geary_log.svg
MF,Pnoc_Oprl1,18,receptor_local_geary_log,individual_panels/MF/18_MF_Pnoc_Oprl1_receptor_local_geary_log.svg
MF,Pnoc_Oprl1,19,per_gene_homogeneous_gradient,individual_panels/MF/19_MF_Pnoc_Oprl1_per_gene_homogeneous_gradient.svg
MF,Pnoc_Oprl1,20,lr_integrated_lr_geary_0_0p5,individual_panels/MF/20_MF_Pnoc_Oprl1_lr_integrated_lr_geary_0_0p5.svg
MF,Pnoc_Oprl1,21,ligand_local_moran,individual_panels/MF/21_MF_Pnoc_Oprl1_ligand_local_moran.svg
MF,Pnoc_Oprl1,22,receptor_local_moran,individual_panels/MF/22_MF_Pnoc_Oprl1_receptor_local_moran.svg
MF,Pnoc_Oprl1,23,per_gene_heterogeneous_edge,individual_panels/MF/23_MF_Pnoc_Oprl1_per_gene_heterogeneous_edge.svg
MF,Pnoc_Oprl1,24,lr_integrated_lr_geary_1p5_inf,individual_panels/MF/24_MF_Pnoc_Oprl1_lr_integrated_lr_geary_1p5_inf.svg
