figure,status,result_kind,path,bytes,sha256
Figure1,partial_notebook_manual_assembly,published,figures/Figure1/results/published/Figure1.svg,8893308,c33cfa903cfebc997c459afd361d5274503a10a65e0a7a456f24d67ff4cd0731
Figure2,precomputed_autocorrelation_redraw,published,figures/Figure2/results/published/Figure2.svg,21670321,0d2ab8886f773910120ba699e375610b4edeadaec03dcd3ab1c7a417556b406f
Figure2,precomputed_autocorrelation_redraw,published,figures/Figure2/results/published/panels/spatial_autocorrelation__figures__Method_1_CDF_three_spatial_autocorr_types.svg,50789,53389c1b291618a3511956f681baf6de619ceff67a5fece0615642081b087c33
Figure2,precomputed_autocorrelation_redraw,published,figures/Figure2/results/published/panels/spatial_autocorrelation__figures__Method_2_CDF_three_spatial_autocorr_types.svg,51919,61da4c21c250b0daf69eed3a05e6f6e240071fd83898291ccaf323e9f5178a37
Figure2,precomputed_autocorrelation_redraw,generated,figures/Figure2/results/generated/figures/Method_1_CDF_three_spatial_autocorr_types.svg,50789,afe23159f85a3370ded5ceb6c3296052447be19e4bcb6e6eb112168058f9ff67
Figure2,precomputed_autocorrelation_redraw,generated,figures/Figure2/results/generated/figures/Method_2_CDF_three_spatial_autocorr_types.svg,51919,fe32542add5f10fca5b24a45baffa4ac767f895fa127cb8931ce4b66f9691a74
Figure2,precomputed_autocorrelation_redraw,generated,figures/Figure2/results/generated/run_config.json,549,0e5519fe9c6b5343166a0ae76843bad77429cea32ba65e001b0c7bac5fba58a5
Figure2,precomputed_autocorrelation_redraw,generated,figures/Figure2/results/generated/tables/three_spatial_autocorr_cdf_summary.csv,669,7f2d57b3c2c48cf5b089af6d050ac3c15a60662ae67fe17ce7859131ceb6444a
Figure3,computational_panels_manual_final_assembly,input,figures/Figure3/inputs/boundary_ligand_counts.csv,625326,1aa71a883b47bbd9d4286bb0e25f0e7d4eb3917c9e374fa8d54d714299cd38f1
Figure3,computational_panels_manual_final_assembly,input,figures/Figure3/inputs/boundary_ligand_counts.json,530,4b9801b165a39ac1f07899476e888c7bf71f58b50471f002241b0ad0d23d52f7
Figure3,computational_panels_manual_final_assembly,published,figures/Figure3/results/published/Figure3.svg,1307861,3be6fa7e30aaa030d81e2a0207da76a7d7fa01c9fffbdda82df8c77da6b78395
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_1_comparison_DLPFC_equal.svg,153549,eb2e37795355981e402a6cdf3acc65c4085999cd365b59d12485e606d56788fd
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_1_comparison_DLPFC_REVERS.svg,153835,e5741e2e1fc361bb2c44fc895f327ee989099553c2c05d5c1bede813f8bdfff0
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_1_edge_dropout_plot.svg,39831,47c4808c232583ddda071c14c14b9b14b2f2321ff37d842d7777d0b5297f69ae
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_1_edge_equalization_plot.svg,81117,76d86f240ecc3915829f4914ff46ff2d2df2dd4a5179d10db471ca46f4afacf7
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_1_gradient_change_plot.svg,81271,847cec77b78ae003e2e0d5bd152b62e852059ee3eff85fa40c8932e583d46d48
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_1_normality_qq_DLPFC_equal.svg,93430,4203d35d1fa612c09f85b2583d2c51b33b56e39f83c8ea14ffdd168889b99b3b
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_1_normality_qq_DLPFC_REVERS.svg,93684,d4aaa674244470d29a6441ea2559c5a44e21b28a703cd240568699fdbb276eb8
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_2_comparison_DLPFC_equal.svg,142095,9fc2a9e3aacb41c9d5d6b37322ff487a9d88f5606c0ac909eafb531417da1f0c
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_2_comparison_DLPFC_REVERS.svg,142637,5bb88ae087cb8b6c6390260e56326bed00af502b3e296df74274469f92672803
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_2_edge_dropout_plot.svg,40428,7f7494d6c05c7f18eabfb601b34c09d310f8f48a8af0d8e8f16c2ab6e600d9f9
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_2_edge_equalization_plot.svg,73589,921a167765efd3d570161bbd672fab343015e6289d6fec81036aa27c9657d4e2
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_2_gradient_change_plot.svg,73757,98b1a150d8ecfaf4807d57a777a522b24e8e8c76dcd07628b7d5fa09976ea9d7
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_2_normality_qq_DLPFC_equal.svg,91520,5b20df1e2a3d5d4b3f994f881f51db126cee6e25dc7c4737f397415ca5ed755d
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Baseline_2_normality_qq_DLPFC_REVERS.svg,91748,33134abd23a82e4556e2875455936b1b65d661240e05c089f5848dc9185b1a19
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/CellAgentChat_comparison_DLPFC_equal.svg,142139,cb13355e76baec423609825e0c1bac5beabcfd0b4e7b2f22c65522c2c2b4553c
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/CellAgentChat_comparison_DLPFC_REVERS.svg,145795,6771d00082b41b9b0f9b593064feb28ef5e8d39116d3b5d3a53676a24d66cf3e
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/CellAgentChat_edge_dropout_plot.svg,41403,72dbeb44ac0be00748e729d4af7c67fc368719e34c8f12f19582bc249b4a874c
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/CellAgentChat_edge_equalization_plot.svg,76172,113494ede038f51855d8c7ef74b6d794995f41d3ef3fc813ffac5d5031d1d6e8
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/CellAgentChat_gradient_change_plot.svg,77996,13f2bc18c5ec3b067f6e70af152f5dd52b0759363f95d7a74c5214051d6af06f
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/CellAgentChat_normality_qq_DLPFC_equal.svg,88571,e6d0d00b939d1c70aa86cc79ab96f49f17704a665e48bf1ab034ed49c27ec92b
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/CellAgentChat_normality_qq_DLPFC_REVERS.svg,91041,87fe50b397424ccaa1e23b1c643166358e65fa8385a721a9c98d8962d11b26ec
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/COMMOT_comparison_DLPFC_equal.svg,63801,f0eaccf8908127fe5f6561d37a1c920b16ba259a984fd2fd3df001b6197f93ee
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/COMMOT_comparison_DLPFC_REVERS.svg,63802,cfc4275051a061c68ec81e6dff662fa3c9dfff00c892c5085a790a5f3b50ddab
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/COMMOT_edge_dropout_plot.svg,39947,821d4358e26abfc7ba1172b4467ab6fcc4f9291bd6766ab179d1ae3fdda55d73
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/COMMOT_edge_equalization_plot.svg,35383,7e3cd1305dbf008527c96acfa29b1a5f95f0b8112438b183186613001b0b9b3d
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/COMMOT_gradient_change_plot.svg,35381,57c8dbf62a3118a6903ac1636f6804458130f72db7ef83cf38e416bb6c8403e1
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/COMMOT_normality_qq_DLPFC_equal.svg,43798,27c2527935fcda9cbe9489f076b01b3312e7988f82a01024f89181bdb517f411
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/COMMOT_normality_qq_DLPFC_REVERS.svg,43804,ad8eb401493b5d9d7fccfb9b75ecd15e1aa8f39a8bdcdba09413847ec11937ff
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Giotto_comparison_DLPFC_equal.svg,132497,db93647b1e414a509fbe0e618d9c8c09bd108ec95aa081c776286bf923563842
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Giotto_comparison_DLPFC_REVERS.svg,133131,3ae1823ca65efd2d03a2497cf965658354c73cdc50a0af4a27286399deae748c
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Giotto_edge_dropout_plot.svg,40574,3d7b364ef247efaba4e07f13c620945df3e684190ce0129842aeb59577d5d0b1
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Giotto_edge_equalization_plot.svg,70637,79212196086d6855f4a27588956493f39f2e1e09d63d00b701c680bf58caf3e8
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Giotto_gradient_change_plot.svg,71636,b68a9fd287948dd7a9b7e0843f0213962845d6e4245d99d46bd528adccd7a754
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Giotto_normality_qq_DLPFC_equal.svg,86970,a381bc94677da6b410cf4b918b8dfbe0eb6f72d1e288b586e4029279dd380f13
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Giotto_normality_qq_DLPFC_REVERS.svg,88896,2cc8fb7483833931379dd8929b6ef090bdd71734880b45d97d72dbc70d4614eb
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpaTalk_comparison_DLPFC_equal.svg,56132,ca6adac6cf29657de11e054aaa7b657f9dfc4413920ebf570d2ee6ee2b0a9856
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpaTalk_comparison_DLPFC_REVERS.svg,61116,0b754ee492b52653c31ae2e8c4468e4fc9d6e4ae4bfa54455e59ddc247b59e50
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpaTalk_edge_dropout_plot.svg,41349,954b2dd9b66c85c44339ad27ba092f288006e8c4a4c2dc91635960fac9f9cd11
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpaTalk_edge_equalization_plot.svg,31911,bc937a8b1b52094608dcadf2017332dfbf93094976b2729bdc6d05b13337b0ba
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpaTalk_gradient_change_plot.svg,34547,65b136546703d19e5ee1584d4318e2268f7e3884cd501cda51c64730d8f9cc0f
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpaTalk_normality_qq_DLPFC_equal.svg,36318,5e4de5e3494158dc26683a3bf7d4df06dc998f5202696e608cd1c6abd31c2b8f
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpaTalk_normality_qq_DLPFC_REVERS.svg,40199,7eebc75f03412b485361435bf08aba08634d24ac6f228622b6f9872edb3c4b13
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpatialDM_comparison_DLPFC_equal.svg,49487,358bb80bbbe00dbe202ea49421c480950c46a95bb2c8275cb821014617676bef
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpatialDM_comparison_DLPFC_REVERS.svg,53017,703be9846ce28130c927318ee0803e2ea6afb76b79972c0b76d548b859f34901
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpatialDM_edge_dropout_plot.svg,41378,03c33a1c2b83c70a508797c3505e5fb8e72312ebf04e6ae33380e1fb0f35d26d
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpatialDM_edge_equalization_plot.svg,29360,7f0e9291cd727367dbdcdd7bd09d56ce56f3f165745ac83d7d5e402e6ed2c184
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpatialDM_gradient_change_plot.svg,31837,0fa707940742be9f4803e03ad85af461eb8c94aa74439b464639e484285e0d7b
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpatialDM_normality_qq_DLPFC_equal.svg,37547,f5abd401c7ffd79706b80c5e297f32ec081c762197facf141d04889343a1f2f5
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/SpatialDM_normality_qq_DLPFC_REVERS.svg,32587,500fc18ff298c28e1f85f9a1fdd3d1e4c79994be9c0f658a09438038b5669210
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Squidpy_comparison_DLPFC_equal.svg,152876,a1dbf6f56f7dcc0186829569adec4a324b553b29f540815de92924a4546a6a48
